Time,X,Y,Z,A,B,C,S,T
2.136,972.66748,-564.002258,440.527008,-30.553154,0.354212,-178.917969,2,10
2.148,977.931702,-568.886292,440.679749,-29.8871,0.339611,-178.890488,2,10
2.16,983.12738,-573.61499,440.839813,-29.235445,0.325283,-178.863754,2,10
2.172,988.251099,-578.191162,441.0065,-28.598186,0.31123,-178.837769,2,10
2.184,993.2995,-582.617676,441.179169,-27.975328,0.297458,-178.812531,2,10
2.196,998.269409,-586.8974,441.357056,-27.366865,0.283971,-178.78801,2,10
2.208,1003.157776,-591.03302,441.539551,-26.772802,0.270772,-178.764206,2,10
2.22,1007.96167,-595.027344,441.726013,-26.193136,0.257865,-178.741104,2,10
2.232,1012.678223,-598.883118,441.915771,-25.627869,0.245253,-178.718719,2,10
2.244,1017.304688,-602.603088,442.108246,-25.076998,0.23294,-178.697006,2,10
2.256,1021.83844,-606.18988,442.302856,-24.540525,0.220928,-178.67598,2,10
2.268,1026.276978,-609.646179,442.498962,-24.01845,0.209221,-178.65564,2,10
2.28,1030.61792,-612.974609,442.696045,-23.510773,0.197819,-178.635941,2,10
2.292,1034.859009,-616.177612,442.893555,-23.017492,0.186727,-178.616913,2,10
2.304,1038.997803,-619.257813,443.090973,-22.538609,0.175945,-178.598526,2,10
2.316,1043.032471,-622.21759,443.28775,-22.074123,0.165476,-178.580765,2,10
2.328,1046.960693,-625.059448,443.483429,-21.624035,0.155321,-178.563644,2,10
2.34,1050.780762,-627.785645,443.67749,-21.188343,0.145482,-178.54715,2,10
2.352,1054.490723,-630.39856,443.869507,-20.767048,0.13596,-178.531281,2,10
2.364,1058.088867,-632.900391,444.059021,-20.360151,0.126757,-178.516006,2,10
2.376,1061.573364,-635.293396,444.245605,-19.967651,0.117874,-178.501343,2,10
2.388,1064.942871,-637.57959,444.428833,-19.58955,0.109312,-178.487274,2,10
2.4,1068.195557,-639.761108,444.608337,-19.225843,0.101071,-178.473785,2,10
2.412,1071.330322,-641.839966,444.783691,-18.876535,0.093153,-178.460876,2,10
2.424,1074.345459,-643.817993,444.954559,-18.541622,0.085559,-178.448563,2,10
2.436,1077.23999,-645.697144,445.120575,-18.221107,0.078288,-178.436813,2,10
2.448,1080.012451,-647.479187,445.281433,-17.914991,0.071342,-178.425629,2,10
2.46,1082.661743,-649.165833,445.436798,-17.62327,0.06472,-178.414993,2,10
2.472,1085.186768,-650.758728,445.586365,-17.345945,0.058424,-178.404938,2,10
2.484,1087.586548,-652.259399,445.729828,-17.083019,0.052454,-178.395416,2,10
2.496,1089.860107,-653.669434,445.866974,-16.834488,0.04681,-178.386444,2,10
2.508,1092.00647,-654.990173,445.997498,-16.600355,0.041492,-178.378006,2,10
2.52,1094.024902,-656.222961,446.121155,-16.380619,0.036501,-178.370117,2,10
2.532,1095.914551,-657.369141,446.237762,-16.17528,0.031836,-178.362762,2,10
2.544,1097.674805,-658.42981,446.347076,-15.984337,0.027498,-178.355942,2,10
2.556,1099.30481,-659.406128,446.448883,-15.807792,0.023487,-178.34964,2,10
2.568,1100.804077,-660.299133,446.54306,-15.645642,0.019803,-178.343857,2,10
2.58,1102.171997,-661.109741,446.629425,-15.49789,0.016445,-178.338608,2,10
2.592,1103.408081,-661.838806,446.707794,-15.364535,0.013415,-178.333878,2,10
2.604,1104.511963,-662.487061,446.778046,-15.245577,0.010712,-178.329666,2,10
2.616,1105.483154,-663.055359,446.840088,-15.141015,0.008336,-178.325958,2,10
2.628,1106.321167,-663.544189,446.893768,-15.050851,0.006288,-178.322769,2,10
2.64,1107.026001,-663.954102,446.939056,-14.975082,0.004566,-178.320099,2,10
2.652,1107.597168,-664.285522,446.97583,-14.913712,0.003172,-178.317932,2,10
2.664,1108.039185,-664.541504,447.004333,-14.866248,0.002093,-178.316254,2,10
2.676,1108.36792,-664.731628,447.025574,-14.830956,0.001292,-178.315018,2,10
2.688,1108.60022,-664.865784,447.040588,-14.806034,0.000726,-178.314133,2,10
2.7,1108.752686,-664.953735,447.050476,-14.789683,0.000355,-178.313553,2,10
2.712,1108.842041,-665.005188,447.056305,-14.780105,0.000138,-178.313217,2,10
2.724,1108.885132,-665.029968,447.059082,-14.775497,3.4E-05,-178.313049,2,10
2.736,1108.898438,-665.03772,447.059967,-14.774062,1E-06,-178.313004,2,10
2.748,1108.899048,-665.038025,447.059998,-14.774,0,-178.313004,2,10
2.76,1108.899048,-665.038025,447.059998,-14.774,0,-178.313004,2,10
2.772,1108.899048,-665.038025,447.059998,-14.774,0,-178.313004,2,10
2.784,1108.899048,-665.038025,447.059998,-14.774,0,-178.313004,2,10
2.796,1108.899048,-665.038025,447.059998,-14.774,0,-178.313004,2,10
2.808,1108.899048,-665.038025,447.059998,-14.774,0,-178.313004,2,10
2.82,1108.899048,-665.038025,447.059998,-14.774,0,-178.313004,2,10
2.832,1108.901733,-665.034729,447.072113,-14.773811,0,-178.313904,2,10
2.844,1108.912354,-665.021667,447.120605,-14.773055,1E-06,-178.317505,2,10
2.856,1108.936401,-664.992126,447.229736,-14.771352,5E-06,-178.325592,2,10
2.868,1108.979248,-664.939697,447.423676,-14.768319,1.6E-05,-178.339981,2,10
2.88,1109.046021,-664.857727,447.726685,-14.763574,4E-05,-178.362457,2,10
2.892,1109.142334,-664.739624,448.162994,-14.756732,8.2E-05,-178.394821,2,10
2.904,1109.273438,-664.578918,448.756805,-14.747412,0.000147,-178.438843,2,10
2.916,1109.444702,-664.368958,449.532379,-14.735234,0.000235,-178.496353,2,10
2.928,1109.658813,-664.106567,450.501831,-14.720012,0.000345,-178.568237,2,10
2.94,1109.915771,-663.791687,451.665192,-14.701745,0.000477,-178.654495,2,10
2.952,1110.215454,-663.424255,453.02243,-14.680432,0.000631,-178.755127,2,10
2.964,1110.558105,-663.004395,454.573547,-14.656075,0.000807,-178.870148,2,10
2.976,1110.943481,-662.532043,456.318542,-14.628673,0.001003,-178.999527,2,10
2.988,1111.371704,-662.007202,458.257416,-14.598224,0.001221,-179.143295,2,10
3,1111.842651,-661.429871,460.390137,-14.56473,0.00146,-179.301437,2,10
3.012,1112.356567,-660.80011,462.716736,-14.528189,0.00172,-179.473953,2,10
3.024,1112.913208,-660.117798,465.237183,-14.488601,0.002,-179.660843,2,10
3.036,1113.512695,-659.383057,467.951477,-14.445967,0.0023,-179.862106,2,10
3.048,1114.155151,-658.595825,470.859619,-14.400285,0.002621,179.922241,2,2
3.06,1114.840332,-657.756104,473.961578,-14.351556,0.002961,179.69223,2,2
3.072,1115.568359,-656.863953,477.257385,-14.299779,0.003321,179.44783,2,2
3.084,1116.339111,-655.919312,480.747009,-14.244954,0.0037,179.189056,2,2
3.096,1117.152832,-654.922241,484.43045,-14.18708,0.004098,178.915894,2,2
3.108,1118.009399,-653.872681,488.307678,-14.126159,0.004515,178.628357,2,2
3.12,1118.908691,-652.770752,492.378723,-14.062188,0.00495,178.326447,2,2
3.132,1119.850952,-651.616333,496.643555,-13.995168,0.005404,178.010162,2,2
3.144,1120.83606,-650.409485,501.102173,-13.925099,0.005875,177.679474,2,2
3.156,1121.863892,-649.150269,505.754578,-13.851981,0.006363,177.334412,2,2
3.168,1122.934692,-647.838623,510.600739,-13.775813,0.006868,176.974976,2,2
3.18,1124.048218,-646.474609,515.640686,-13.696597,0.00739,176.601135,2,2
3.192,1125.204712,-645.058228,520.874329,-13.61433,0.007928,176.212906,2,2
3.204,1126.404053,-643.589539,526.301758,-13.529016,0.008482,175.810303,2,2
3.216,1127.64624,-642.068481,531.922974,-13.440652,0.00905,175.393295,2,2
3.228,1128.931274,-640.495117,537.737915,-13.349238,0.009633,174.961884,2,2
3.24,1130.259155,-638.869507,543.746582,-13.254778,0.01023,174.516083,2,2
3.252,1131.629883,-637.191589,549.949036,-13.157269,0.010841,174.055878,2,2
3.264,1133.043579,-635.461487,556.345215,-13.056711,0.011463,173.581268,2,2
3.276,1134.500122,-633.679138,562.93512,-12.953107,0.012097,173.092255,2,2
3.288,1135.999512,-631.844604,569.718811,-12.846456,0.012742,172.588821,2,2
3.3,1137.54187,-629.957947,576.696228,-12.736758,0.013396,172.070969,2,2
3.312,1139.127075,-628.019104,583.867432,-12.624015,0.014059,171.538712,2,2
3.324,1140.755249,-626.028259,591.232422,-12.508226,0.014729,170.992035,2,2
3.336,1142.42627,-623.985229,598.791199,-12.389393,0.015406,170.430923,2,2
3.348,1144.140259,-621.890259,606.543823,-12.267516,0.016087,169.855377,2,2
3.36,1145.897217,-619.743225,614.490234,-12.142594,0.016771,169.265411,2,2
3.372,1147.697144,-617.544189,622.630493,-12.014629,0.017457,168.661011,2,2
3.384,1149.539917,-615.293213,630.9646,-11.883622,0.018143,168.04216,2,2
3.396,1151.425781,-612.990356,639.492615,-11.749572,0.018827,167.408875,2,2
3.408,1153.354736,-610.635498,648.214539,-11.612478,0.019509,166.761139,2,2
3.42,1155.326538,-608.228821,657.130371,-11.472343,0.020185,166.098953,2,2
3.432,1157.341553,-605.770264,666.240234,-11.329165,0.020854,165.422318,2,2
3.444,1159.399536,-603.259888,675.544067,-11.182945,0.021514,164.731232,2,2
3.456,1161.50061,-600.697693,685.041992,-11.033682,0.022163,164.025696,2,2
3.468,1163.644775,-598.08374,694.734009,-10.881374,0.0228,163.305679,2,2
3.48,1165.832153,-595.417969,704.620117,-10.726024,0.023422,162.571213,2,2
3.492,1168.062622,-592.700378,714.700378,-10.567628,0.024028,161.822281,2,2
3.504,1170.336304,-589.931091,724.974915,-10.406187,0.024614,161.058899,2,2
3.516,1172.653198,-587.110046,735.443665,-10.241698,0.025181,160.281036,2,2
3.528,1175.013306,-584.237244,746.10675,-10.074162,0.025725,159.488693,2,2
3.54,1177.416748,-581.312744,756.964172,-9.903575,0.026245,158.6819,2,2
3.552,1179.863525,-578.336487,768.016052,-9.729937,0.026739,157.860626,2,2
3.564,1182.353638,-575.308533,779.26239,-9.553244,0.027205,157.024887,2,2
3.576,1184.887207,-572.228821,790.703247,-9.373496,0.027642,156.174667,2,2
3.588,1187.464111,-569.097351,802.338684,-9.190689,0.028048,155.309967,2,2
3.6,1190.084473,-565.914124,814.168762,-9.004821,0.028422,154.430817,2,2
3.612,1192.748535,-562.679199,826.193542,-8.815888,0.028762,153.53717,2,2
3.624,1195.456055,-559.392517,838.413147,-8.623889,0.029066,152.629059,2,2
3.636,1198.207153,-556.054016,850.827515,-8.42882,0.029333,151.706482,2,2
3.648,1201.002075,-552.663757,863.436829,-8.230676,0.029562,150.769409,2,2
3.66,1203.840698,-549.22168,876.24115,-8.029454,0.029751,149.817886,2,2
3.672,1206.722778,-545.728149,889.238953,-7.825185,0.029895,148.85199,2,2
3.684,1209.639038,-542.191589,902.39624,-7.618628,0.029895,147.874329,2,2
3.696,1212.576782,-538.623718,915.665527,-7.410781,0.029651,146.888504,2,2
3.708,1215.52417,-535.03656,928.998718,-7.202563,0.029104,145.898148,2,2
3.72,1218.469482,-531.442688,942.347168,-6.994803,0.028245,144.906891,2,2
3.732,1221.401978,-527.854858,955.661987,-6.78824,0.027104,143.918381,2,2
3.744,1224.311523,-524.286621,968.893738,-6.583522,0.025754,142.936264,2,2
3.756,1227.188843,-520.751831,981.992798,-6.381208,0.0243,141.964172,2,2
3.768,1230.025513,-517.264526,994.911011,-6.18176,0.022874,141.0056,2,2
3.78,1232.819214,-513.828918,1007.634583,-5.985309,0.021512,140.061554,2,2
3.792,1235.570068,-510.445007,1020.163391,-5.791854,0.020211,139.132004,2,2
3.804,1238.277954,-507.112885,1032.497559,-5.601398,0.01897,138.216949,2,2
3.816,1240.942993,-503.832611,1044.636963,-5.413941,0.017786,137.316376,2,2
3.828,1243.565063,-500.604218,1056.581787,-5.229486,0.016656,136.430313,2,2
3.84,1246.144287,-497.427795,1068.331787,-5.048034,0.015579,135.558716,2,2
3.852,1248.680664,-494.303375,1079.887207,-4.869585,0.014552,134.701584,2,2
3.864,1251.174072,-491.231018,1091.247925,-4.69414,0.013574,133.858948,2,2
3.876,1253.624634,-488.210724,1102.41394,-4.521699,0.012642,133.030746,2,2
3.888,1256.032227,-485.242615,1113.385254,-4.352264,0.011756,132.217026,2,2
3.9,1258.397095,-482.326691,1124.162109,-4.185834,0.010913,131.417755,2,2
3.912,1260.718994,-479.462982,1134.744141,-4.02241,0.010112,130.632935,2,2
3.924,1262.998047,-476.65155,1145.131714,-3.861993,0.00935,129.862564,2,2
3.936,1265.234253,-473.892395,1155.324585,-3.704581,0.008628,129.106628,2,2
3.948,1267.427612,-471.185577,1165.322998,-3.550176,0.007944,128.365143,2,2
3.96,1269.578125,-468.531097,1175.126709,-3.398778,0.007295,127.638084,2,2
3.972,1271.685791,-465.929016,1184.735962,-3.250387,0.006682,126.925453,2,2
3.984,1273.750732,-463.379364,1194.150757,-3.105002,0.006102,126.227264,2,2
3.996,1275.772705,-460.882111,1203.370972,-2.962625,0.005556,125.543495,2,2
4.008,1277.751953,-458.437317,1212.396729,-2.823254,0.005042,124.874146,2,2
4.02,1279.688477,-456.044983,1221.228149,-2.686891,0.004558,124.219223,2,2
4.032,1281.582031,-453.70517,1229.86499,-2.553535,0.004104,123.578712,2,2
4.044,1283.432861,-451.417847,1238.307495,-2.423186,0.003679,122.952621,2,2
4.056,1285.240967,-449.183014,1246.555542,-2.295845,0.003283,122.340942,2,2
4.068,1287.006226,-447.000732,1254.609131,-2.171511,0.002913,121.743683,2,2
4.08,1288.728638,-444.871002,1262.468506,-2.050185,0.00257,121.16082,2,2
4.092,1290.408325,-442.793823,1270.133423,-1.931867,0.002251,120.592377,2,2
4.104,1292.045288,-440.769196,1277.604004,-1.816558,0.001958,120.038338,2,2
